ID,Step,Distance,Azimuth,Rotation,TransitTime
0,138,6.785,261.168,334.002,3.353
0,139,6.559,278.743,195.094,3.071
0,140,6.521,91.723,310.718,3.26
0,141,7.307,145.833,145.833,4.424
0,142,5.98,359.997,211.262,3.122
0,143,6.798,152.838,-117.162,3.006
0,144,6.858,262.446,185.52,3.842
0,145,6.692,86.587,311.853,3.728
0,146,7.521,140.799,140.799,4.688
0,147,6.115,359.999,349.725,3.369
0,148,5.123,12.289,309.064,3.974
0,149,4.708,76.289,327.312,3.059
0,150,5.081,118.805,204.318,3.721
0,151,5.116,261.927,68.274,3.474
0,152,6.133,191.351,101.351,3.138
0,153,6.205,98.725,36.371,3.676
0,154,5.776,72.095,92.547,3.922
0,155,4.692,334.522,68.974,3.35
0,156,4.873,253.68,39.159,3.776
0,157,5.842,208.209,225.402,3.664
0,158,4.803,338.924,295.208,3.444
0,159,4.119,53.705,302.533,3.799
0,160,4.653,124.372,146.199,3.625
0,161,3.666,331.841,201.007,3.163
0,162,4.346,140.346,216.476,3.921
1,1,6.974,46.706,139.421,3.902
1,2,7.126,257.838,257.838,4.307
1,3,5.834,359.997,227.224,3.621
1,4,6.62,139.691,310.166,3.871
1,5,7.767,188.106,188.106,4.932
1,6,6.288,359.999,169.019,3.636
1,7,7.361,189.361,189.361,4.066
1,8,6.142,359.999,110.678,3.012
1,9,6.516,241.869,12.032,3.9
1,10,7.325,222.829,222.829,4.683
1,11,5.92,0.003,274.346,3.501
1,12,5.934,95.819,206.072,3.475
1,13,6.37,240.912,-29.088,3.117
1,14,6.438,261.644,265.111,3.082
1,15,5.515,355.957,269.398,3.192
1,16,5.54,96.497,-173.503,3.548
1,17,5.642,259.129,224.5,3.061
1,18,4.914,40.727,68.519,3.313
1,19,4.062,325.661,193.994,3.644
1,20,4.858,141.348,276.534,3.838
1,21,5.732,216.679,-53.321,3.904
1,22,5.851,258.448,227.903,3.79
1,23,4.905,37.315,90.915,3.196
1,24,4.405,296.304,38.68,3.481
1,25,4.74,245.201,21.479,3.602
1,26,5.571,216.017,-53.983,3.798
1,27,5.686,258.44,232.458,3.866
1,28,4.671,32.221,195.676,3.472
1,29,5.677,193.549,0.774,3.336
1,30,6.658,190.871,-79.129,3.625
1,31,6.746,260.722,53.228,3.57
1,32,7.711,203.818,203.818,4.686
1,33,6.305,0.003,187.47,3.374
1,34,7.311,173.564,173.564,4.898
1,35,5.841,0.004,200.85,3.369
1,36,6.795,162.187,-107.813,3.91
1,37,6.896,260.209,-9.791,3.519
1,38,6.976,261.299,-8.701,3.654
1,39,7.062,261.067,261.067,4.579
1,40,5.688,0.006,324.401,3.132
1,41,4.954,41.943,290.372,3.9
1,42,5.493,122.996,32.996,3.044
1,43,5.569,99.437,293.298,3.52
1,44,6.6,168.333,-101.667,3.151
1,45,6.667,261.848,104.248,3.271
1,46,7.583,160.424,160.424,4.827
1,47,6.135,359.995,138.652,3.714
1,48,7.01,215.314,215.314,4.877
1,49,5.547,0.001,22.811,3.445
1,50,4.613,332.207,181.23,3.201
1,51,5.473,155.858,65.858,3.229
1,52,5.558,100.043,304.593,3.276
1,53,6.464,159.071,-110.929,3.11
1,54,6.531,261.784,299.22,3.207
1,55,5.797,316.77,260.406,3.049
1,56,5.344,64.556,42.084,3.936
1,57,4.277,28.528,65.043,3.169
1,58,3.558,314.345,42.829,3.104
1,59,3.654,256.768,37.267,3.628
1,60,4.547,210.748,235.585,3.67
1,61,3.578,327.73,327.251,3.934
1,62,2.397,0.718,-269.282,3.18
1,63,2.58,248.304,39.933,3.066
1,64,3.418,201.016,172.919,3.706
1,65,2.493,40.226,262.495,3.128
1,66,3.249,148.933,262.619,3.948
1,67,3.88,230.083,242.013,3.401
1,68,2.889,343.878,34.081,3.322
1,69,2.378,291.017,201.017,3.509
1,70,2.6,113.874,355.673,3.109
1,71,3.15,133.336,146.334,3.649
1,72,2.098,340.259,70.259,3.267
1,73,2.316,244.968,307.931,3.293
1,74,2.064,271.794,181.794,3.679
1,75,2.34,118.143,160.099,3.94
1,76,1.661,289.631,19.631,3.097
1,77,1.902,240.782,305.002,3.524
1,78,1.729,262.37,0.467,3.277
1,79,2.105,234.36,162.923,3.562
1,80,2.035,101.296,11.296,3.063
1,81,2.233,114.294,311.257,3.112
1,82,3.138,168.011,113.5,3.587
1,83,2.662,73.736,0.38,3.207
1,84,2.558,94.486,344.371,3.464
1,85,3.075,128.628,4.028,3.828
1,86,3.845,138.835,172.586,3.244
1,87,3.084,316.151,239.379,3.429
1,88,3.019,96.151,235.975,3.681
1,89,3.928,209.723,258.346,3.717
1,90,3.299,296.687,102.969,3.323
1,91,4.274,190.552,253.977,3.27
1,92,3.934,283.693,264.644,3.572
1,93,2.942,25.877,102.344,3.11
1,94,2.871,265.119,351.067,3.028
1,95,2.949,256.158,298.578,3.783
1,96,2.245,297.644,27.644,3.999
1,97,2.546,241.892,346.441,3.989
1,98,3.073,233.322,125.13,3.872
1,99,3.609,126.001,75.617,3.507
1,100,3.048,65.805,197.517,3.883
1,101,3.921,215.478,302.942,3.584
1,102,4.02,257.03,226.378,3.5
1,103,3.163,40.394,-229.606,3.072
1,104,3.294,253.75,27.746,3.96
1,105,4.207,214.282,37.268,3.927
1,106,5.384,177.672,87.672,3.344
1,107,5.477,100.557,199.386,3.788
1,108,5.761,249.93,-20.07,3.305
1,109,5.846,260.238,38.837,3.428
1,110,6.652,215.531,204.508,3.641
1,111,5.583,13.165,130.204,3.97
1,112,6.215,233.136,94.519,3.632
1,113,7.069,144.463,144.463,4.706
1,114,5.657,0.002,217.67,3.87
1,115,6.614,148.491,-121.509,3.135
1,116,6.681,261.91,171.91,3.635
1,117,6.769,99.273,219.287,3.065
1,118,7.272,233.701,233.701,4.614
1,119,5.888,0.001,285.841,3.115
1,120,5.705,83.23,26.014,3.104
1,121,5.26,65.776,46.181,3.882
1,122,4.181,24.96,172.972,3.099
1,123,4.994,206.324,270.299,3.512
1,124,4.63,284.22,185.215,3.919
1,125,4.953,112.566,3.415,3.184
1,126,5.342,118.875,309.013,3.228
1,127,6.297,171.412,81.412,3.849
1,128,6.402,100.392,257.399,3.079
1,129,7.261,200.142,200.142,4.555
1,130,5.895,0.006,317.796,3.334
1,131,5.197,49.641,17.13,3.355
1,132,4.382,39.606,24.224,3.976
1,133,3.247,20.967,228.37,3.468
1,134,4.199,159.14,87.494,3.135
1,135,4.003,84.521,8.016,3.702
1,136,3.896,92.602,325.004,3.622
1,137,4.64,138.293,147.919,3.623
1,138,3.573,347.461,43.033,3.293
1,139,3.123,289.309,220.825,3.479
1,140,2.907,87.983,3.533,3.37
1,141,2.984,104.165,112.034,3.3
1,142,2.008,348.244,317.775,3.528
1,143,1.22,56.569,-213.431,3.584
1,144,1.626,228.594,20.636,3.697
1,145,2.657,196.664,92.85,3.675
1,146,3.11,123.952,208.557,3.687
1,147,3.202,255.284,333.082,3.971
1,148,3.171,260.667,200.381,3.872
1,149,2.785,81.516,151.736,3.367
1,150,2.621,268.514,143.795,3.285
1,151,3.284,138.998,114.007,3.188
1,152,2.45,34.476,-235.524,3.958
1,153,2.723,244.154,181.135,3.914
1,154,2.427,88.548,22.005,3.642
1,155,2.23,93.245,-176.755,3.616
1,156,2.48,244.053,163.951,3.383
1,157,2.514,103.547,65.262,3.264
1,158,1.848,57.453,-212.547,3.265
1,159,2.092,242.085,346.429,3.901
1,160,2.638,230.191,217.566,3.184
1,161,1.719,19.604,-250.396,3.889
1,162,2.077,235.837,235.076,3.083
2,1,5.104,268.595,206.514,3.83
2,2,4.678,74.617,138.542,3.381
2,3,4.329,283.929,165.523,3.339
2,4,4.885,128.791,86.707,3.072
2,5,4.247,50.45,297.303,3.76
2,6,4.804,125.611,342.504,3.074
2,7,5.568,148.813,75.485,3.22
2,8,5.372,83.252,73.256,3.228
2,9,4.421,12.181,177.081,3.372
2,10,5.404,192.307,102.307,3.609
2,11,5.511,101.337,11.337,3.691
2,12,5.621,101.358,11.358,3.087
2,13,5.696,99.355,135.56,3.942
2,14,4.793,315.413,259.697,3.669
2,15,4.271,68.007,213.458,3.434
2,16,5.153,208.044,118.044,3.936
2,17,5.286,102.905,357.327,3.253
2,18,5.627,115.199,158.729,3.697
2,19,4.883,307.465,299.395,3.659
2,20,3.799,10.388,55.914,3.92
2,21,3.092,298.725,201.096,3.478
2,22,3.392,115.379,180.274,3.991
2,23,3.08,274.501,316.693,3.252
2,24,2.447,302.267,220.453,3.86
2,25,2.553,108.48,184.3,3.872
2,26,2.533,257.772,55.313,3.421
2,27,3.503,196.037,178.421,3.201
2,28,2.604,24.019,96.232,3.041
2,29,2.483,267.31,240.389,3.865
2,30,1.541,46.844,-223.156,3.979
2,31,1.949,232.233,134.469,3.732
2,32,2.375,125.593,81.838,3.52
2,33,1.77,68.111,357.608,3.343
2,34,1.719,103.873,-166.127,3.982
2,35,2.093,235.195,202.101,3.901
2,36,1.283,62.946,-207.054,3.268
2,37,1.615,232.635,84.061,3.339
2,38,2.524,160.513,330.209,3.943
2,39,3.694,187.02,139.933,3.556
2,40,3.069,61.835,-208.165,3.677
2,41,3.262,250.234,8.184,3.846
2,42,3.937,227.047,276.393,3.741
2,43,3.316,295.779,281.731,3.723
2,44,2.25,20.968,-69.032,3.148
2,45,2.44,112.775,272.092,3.75
2,46,3.514,194.191,273.236,3.718
2,47,3.479,262.611,111.026,3.416
2,48,4.407,157.939,305.642,3.985
2,49,5.455,205.568,-64.432,3.614
2,50,5.562,258.756,251.124,3.831
2,51,4.425,9.607,296.427,3.077
2,52,4.25,85.179,271.21,3.955
2,53,5.432,175.286,85.286,3.111
2,54,5.511,99.745,-170.255,3.378
2,55,5.603,259.583,316.137,3.902
2,56,5.053,292.297,79.98,3.855
2,57,6.062,206.466,320.48,3.314
2,58,6.53,237.988,-32.012,3.476
2,59,6.612,260.924,23.445,3.573
2,60,7.244,230.309,230.309,4.129
2,61,6.006,0,122.716,3.896
2,62,6.71,228.86,85.317,3.369
2,63,7.546,148.108,148.108,4.58
2,64,6.172,360,145.642,3.334
2,65,7.021,209.744,209.744,4.403
2,66,5.7,0.003,32.629,3.282
2,67,4.9,321.158,340.5,3.871
2,68,3.824,334.884,205.508,3.613
2,69,4.589,139.897,200.553,3.555
2,70,4.172,286.464,246.05,3.455
2,71,3.449,51.642,289.918,3.825
2,72,4.168,135.272,45.055,3.635
2,73,4.312,104.868,29.937,3.802
2,74,4.164,90.269,350.893,3.155
2,75,4.417,111.583,262.58,3.646
2,76,5.4,203.37,113.37,3.703
2,77,5.513,101.625,339.85,3.806
2,78,6.191,130.795,158.214,3.187
2,79,5.361,327.872,334.427,3.364
2,80,4.359,351.932,229.684,3.918
2,81,5.084,133.527,329.33,3.008
2,82,5.957,166.562,76.562,3.503
2,83,6.05,100.004,112.377,3.436
2,84,5.047,345.124,331.092,3.98
2,85,3.899,18.286,210.942,3.599
2,86,4.958,170.083,80.083,3.396
2,87,5.061,101.612,192.056,3.273
2,88,5.164,258.599,102.376,3.212
2,89,6.058,159.902,69.902,3.763
2,90,6.162,100.553,235.704,3.949
2,91,7.051,218.043,218.043,4.014
2,92,5.847,0.001,198.817,3.633
2,93,6.888,164.11,-105.89,3.124
2,94,6.951,262.253,172.253,3.116
2,95,7.013,97.656,97.656,4.826
2,96,5.565,359.999,59.791,3.861
2,97,5.083,288.854,180.248,3.784
2,98,5.55,119.785,-150.215,3.99
2,99,5.678,257.833,-12.167,3.894
2,100,5.797,258.374,142.889,3.9
2,101,6.388,125.001,295.154,3.451
2,102,7.41,188.477,188.477,4.781
2,103,5.975,359.996,107.364,3.07
2,104,6.312,244.626,154.626,3.261
2,105,6.387,98.816,201.143,3.283
2,106,6.667,249.371,334.682,3.985
2,107,6.677,264.407,99.141,3.067
2,108,7.571,167.04,167.04,4.322
2,109,6.275,0.003,25.801,3.721
2,110,5.292,328.932,125.388,3.92
2,111,6.387,199.323,109.323,3.734
2,112,6.484,99.948,247.675,3.29
2,113,7.337,208.156,208.156,4.297
2,114,6.048,359.994,347.621,3.7
2,115,4.969,15.117,62.505,3.207
2,116,4.376,303.298,54.244,3.437
2,117,4.84,237.578,-32.422,3.65
2,118,4.963,257.257,167.257,3.082
2,119,5.048,100.558,57.855,3.583
2,120,4.32,52.414,282.476,3.087
2,121,4.966,138.159,48.159,3.125
2,122,5.055,100.688,294.081,3.543
2,123,6.094,168.922,78.922,3.411
2,124,6.179,99.529,181.324,3.407
2,125,6.117,268.682,163.191,3.131
2,126,6.432,113.58,23.58,3.509
2,127,6.518,99.297,65.734,3.888
2,128,5.583,40.198,117.346,3.053
2,129,5.453,273.426,315.439,3.209
2,130,4.782,310.24,274.549,3.939
2,131,3.884,45.921,87.459,3.45
2,132,3.184,306.012,132.124,3.918
2,133,4.354,175.533,324.66,3.866
2,134,5.383,204.526,5.595,3.353
2,135,6.343,195.985,-74.015,3.478
2,136,6.428,260.653,169.625,3.629
